B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GNDVI,NDVI,PSRI,SAVI,Top,Landcover
0.1129,8.0E-4,0.1222,0.04555,0.08095,0.06545,0.038,0.06435,0.18595,0.2424,0.23375,0.28315,0.045,0.6779403026283681,0.624498,0.7633504,-0.096945085,0.44781707262350917,1.8670741,Forest
0.1115,0.001,0.1238,0.0447,0.0799,0.0661,0.0382,0.0646,0.1889,0.2552,0.2322,0.2867,0.0448,0.6777396076250377,0.6252835,0.76485074,-0.097314276,0.4518729710795272,1.8729198,Forest
0.1077,0.001,0.1567,0.0587,0.08055,0.07225,0.0396,0.07815,0.26315,0.3651,0.357,0.40855,0.05345,0.8851754927509555,0.69945925,0.8232735,-0.07991678,0.5836892845649382,2.168858,Forest
0.1046,9.0E-4,0.129,0.0473,0.0776,0.0671,0.0374,0.0669,0.2033,0.2722,0.2646,0.3089,0.0414,0.7134973312698,0.64308506,0.7840023,-0.096147634,0.4812123349182038,1.9225035,Forest
0.1134,0.0011,0.1413,0.0519,0.0845,0.0741,0.0431,0.0772,0.2183,0.2937,0.2953,0.3354,0.0469,0.7609997165559337,0.6380952,0.77225894,-0.09242696,0.4990893414273525,1.9068824,Forest
0.1084,9.0E-4,0.1398,0.0496,0.078,0.0709,0.0375,0.0769,0.2411,0.3216,0.3064,0.3628,0.0484,0.8109792604269725,0.6730459,0.8126405,-0.092061736,0.5419860035179352,1.9717911,Forest
0.1052,9.0E-4,0.1303,0.04815,0.0763,0.06565,0.0367,0.0621,0.19695,0.26685,0.266,0.30365,0.0437,0.7013188365877278,0.64446247,0.78433967,-0.095340036,0.47649787979844804,1.9847677,Forest
0.1156,0.0011,0.1717,0.06195,0.0843,0.07835,0.04255,0.0832,0.2848,0.39415,0.38535,0.44685,0.06005,0.9447144288444577,0.70163745,0.8261136,-0.08011637,0.6129472396143046,2.1914487,Forest
0.110225,9.0E-4,0.122375,0.04364,0.0796,0.06665,0.03657143,0.0629,0.18985,0.25408334,0.2499,0.28415,0.0447,0.682727843958671,0.6200114,0.77194273,-0.10585456,0.45248954099975486,1.8360839,Forest
0.1149,0.001,0.1772,0.0822,0.0857,0.0742,0.0524,0.0824,0.1808,0.2356,0.2288,0.2735,0.041,0.584827783416832,0.5731953,0.67842895,-0.07970748,0.40156192550680525,2.3881404,Forest
0.10915,9.0E-4,0.14525,0.053633332,0.08122,0.07115,0.041,0.0722,0.21855,0.28972,0.285675,0.33745,0.0493,0.7606743236581163,0.65173763,0.78332675,-0.08934656,0.5062041042813948,2.0414617,Forest
0.116,0.001,0.1555,0.0587,0.0854,0.0774,0.0437,0.0828,0.2347,0.3064,0.2883,0.3502,0.0529,0.7884041654165984,0.63797945,0.7781163,-0.09623073,0.5143192758335683,2.009044,Forest
