B1_May,B1_Jun,B1_Jul,B1_Aug,B1_Sep,B10_May,B10_Jun,B10_Jul,B10_Aug,B10_Sep,B11_May,B11_Jun,B11_Jul,B11_Aug,B11_Sep,B12_May,B12_Jun,B12_Jul,B12_Aug,B12_Sep,B2_May,B2_Jun,B2_Jul,B2_Aug,B2_Sep,B3_May,B3_Jun,B3_Jul,B3_Aug,B3_Sep,B4_May,B4_Jun,B4_Jul,B4_Aug,B4_Sep,B5_May,B5_Jun,B5_Jul,B5_Aug,B5_Sep,B6_May,B6_Jun,B6_Jul,B6_Aug,B6_Sep,B7_May,B7_Jun,B7_Jul,B7_Aug,B7_Sep,B8_May,B8_Jun,B8_Jul,B8_Aug,B8_Sep,B8A_May,B8A_Jun,B8A_Jul,B8A_Aug,B8A_Sep,B9_May,B9_Jun,B9_Jul,B9_Aug,B9_Sep,EVI_May,EVI_Jun,EVI_Jul,EVI_Aug,EVI_Sep,GNDVI_May,GNDVI_Jun,GNDVI_Jul,GNDVI_Aug,GNDVI_Sep,NDVI_May,NDVI_Jun,NDVI_Jul,NDVI_Aug,NDVI_Sep,PSRI_May,PSRI_Jun,PSRI_Jul,PSRI_Aug,PSRI_Sep,SAVI_May,SAVI_Jun,SAVI_Jul,SAVI_Aug,SAVI_Sep,Top_May,Top_Jun,Top_Jul,Top_Aug,Top_Sep,Landcover
0.10855,0.1058,0.1104,0.1102,0.1251,0.00115,8.0E-4,8.0E-4,9.0E-4,0.00115,0.1334,0.1286,0.1413,0.1426,0.15875,0.0459,0.0444,0.0485,0.0516,0.05865,0.0794,0.077,0.0813,0.08,0.09515,0.0672,0.06755,0.0713,0.0731,0.08545,0.0362,0.0355,0.037,0.0387,0.0508,0.0687,0.07005,0.0745,0.0781,0.0895,0.20525,0.2142,0.2232,0.2277,0.24305,0.28325,0.28465,0.3017,0.3044,0.32125,0.2768,0.28375,0.3028,0.3136,0.3187,0.31575,0.3278,0.3495,0.3496,0.36675,0.03335,0.0484,0.0544,0.0569,0.05095,0.7455064363416094,0.7585902619242555,0.812321272979797,0.7916581499376608,0.8245687460901563,0.64904034,0.65827745,0.66112167,0.6541282,0.6220699,0.79428893,0.80456924,0.80853814,0.8006696,0.75667584,-0.09817892,-0.09777304,-0.098140195,-0.09839818,-0.09447853,0.49219437669586086,0.507876755815974,0.5287648048457197,0.5249915441822119,0.5165113651723047,1.985119,1.9037749,1.981767,1.9507524,1.8578116,Forest
0.0999,0.098,0.0977,0.1057,0.1237,8.0E-4,7.0E-4,8.0E-4,8.0E-4,0.0011,0.126,0.1217,0.1095,0.1253,0.1372,0.0401,0.0395,0.0375,0.0441,0.0479,0.0708,0.0703,0.069,0.0765,0.0956,0.0582,0.0574,0.0565,0.065,0.081,0.0309,0.0317,0.0302,0.0383,0.0511,0.0585,0.0597,0.0596,0.0709,0.0788,0.2056,0.1997,0.1995,0.2064,0.2243,0.2834,0.2798,0.2708,0.2767,0.3078,0.2604,0.2604,0.2541,0.2727,0.2923,0.3171,0.3111,0.3028,0.3274,0.348,0.0407,0.046,0.0549,0.0528,0.0505,0.7364899393923833,0.7171089765316546,0.7051215567598189,0.7349127960479779,0.7916488764119386,0.6898481,0.6884668,0.6854996,0.6687054,0.62237763,0.8224138,0.8150525,0.8186186,0.79053867,0.74392384,-0.086092725,-0.082610086,-0.08685601,-0.08155161,-0.085919544,0.5062499872739381,0.497271008290035,0.4908763481565079,0.5009241060897613,0.4953286491657214,2.1649485,2.120209,1.9380531,1.9276924,1.6938272,Forest
0.1061,0.1053,0.10705,0.10785,0.1245,9.0E-4,8.0E-4,8.0E-4,9.5E-4,0.0013,0.1222,0.1107,0.11215,0.1217,0.13955,0.0412,0.0369,0.03625,0.03995,0.04915,0.0753,0.0744,0.07615,0.07655,0.09265,0.06,0.0613,0.063,0.067,0.07935,0.0326,0.0317,0.0323,0.03415,0.04775,0.0601,0.0628,0.0641,0.0684,0.081,0.1722,0.1829,0.19875,0.20825,0.2254,0.2503,0.2516,0.26775,0.2876,0.30925,0.2258,0.2274,0.25035,0.26695,0.28895,0.2685,0.2913,0.3039,0.31865,0.3466,0.0353,0.049,0.0555,0.0623,0.05765,0.6557513762252134,0.7027612323725041,0.7328063162397184,0.7491376409725181,0.7963174843730781,0.6347032,0.6522972,0.6565822,0.65253466,0.627421,0.7834606,0.80371517,0.80785245,0.8064059,0.7578293,-0.10204841,-0.101613455,-0.101020075,-0.103091165,-0.091171384,0.4417051545127277,0.47314702113927976,0.48720402436133137,0.5004104197015191,0.5012299393678854,2.0366666,1.8058728,1.7801586,1.8164178,1.7586641,Forest
0.19665,0.1013,0.10155,0.1097,0.1423,0.00105,7.0E-4,7.0E-4,9.5E-4,0.001,0.2245,0.1349,0.12925,0.1296,0.1365,0.1289,0.0458,0.04665,0.04855,0.0505,0.18615,0.0742,0.0737,0.08155,0.1116,0.1694,0.0653,0.06575,0.07505,0.0969,0.14815,0.0342,0.0356,0.0437,0.064,0.1699,0.0759,0.0774,0.08865,0.0966,0.28205,0.2143,0.2196,0.2398,0.2444,0.3508,0.2874,0.28495,0.3121,0.3221,0.33725,0.2775,0.27835,0.301,0.3101,0.38275,0.326,0.33125,0.3616,0.3734,0.0499,0.0492,0.05755,0.0659,0.0568,0.6698838129800216,0.7484353962891012,0.7450106295439949,0.7851903511757703,0.8403954375217647,0.3863986,0.66624075,0.6687657,0.6562464,0.5879226,0.44189113,0.8101055,0.80591524,0.78435725,0.7073617,-0.055519294,-0.095398776,-0.09101888,-0.086698,-0.08810926,0.34135222696690126,0.5088351568626319,0.5115937169444147,0.5267314862507799,0.4950928063436662,1.3252656,2.0658498,1.9657794,1.7268488,1.4086688,Forest
0.13875,0.1017,0.101,0.1059,0.1241,9.0E-4,8.0E-4,8.5E-4,9.0E-4,0.002,0.11295,0.1317,0.13215,0.1363,0.1622,0.05295,0.0475,0.04985,0.054,0.0613,0.1072,0.0728,0.07315,0.0785,0.0952,0.0834,0.06,0.0619,0.0683,0.0829,0.0575,0.0337,0.0353,0.0424,0.0536,0.07545,0.0669,0.06805,0.0788,0.0869,0.16675,0.1963,0.1998,0.1997,0.2312,0.22435,0.2629,0.2599,0.269,0.3166,0.1964,0.2421,0.24895,0.2498,0.3078,0.2521,0.3,0.30915,0.3045,0.3665,0.03365,0.05,0.05735,0.0593,0.062,0.6134156615107855,0.6962455906959936,0.7041112963517036,0.6754110665810202,0.8030489771708572,0.5028316,0.6666667,0.6663523,0.6335837,0.63106364,0.628553,0.79802215,0.79503554,0.7555492,0.7448227,-0.102737024,-0.08766666,-0.08604237,-0.085057475,-0.079945445,0.3605484036898541,0.47912919658224346,0.48644088756463927,0.4642224778875608,0.51010759007765,1.3543165,2.195,2.1348948,1.9956075,1.9565742,Forest
0.1021,0.098,0.0977,0.1009,0.1197,7.0E-4,9.0E-4,8.0E-4,9.0E-4,0.0012,0.1241,0.1113,0.1166,0.1141,0.1196,0.0417,0.039,0.0416,0.039,0.0429,0.0757,0.0715,0.0732,0.0741,0.0926,0.0624,0.0581,0.0636,0.0672,0.0804,0.0374,0.0317,0.0345,0.0374,0.0488,0.0576,0.0598,0.0694,0.0683,0.0801,0.16,0.1742,0.1928,0.214,0.2163,0.2164,0.2243,0.2538,0.2908,0.2912,0.2209,0.2288,0.262,0.2865,0.2958,0.2578,0.2556,0.2909,0.3245,0.3281,0.0324,0.0431,0.0526,0.0565,0.0504,0.6025480072770854,0.615414242787538,0.6755190249392117,0.7227005044391666,0.7537241101865951,0.6102436,0.6295824,0.64118475,0.65688026,0.6063647,0.7466125,0.77932477,0.7879533,0.7933131,0.74104536,-0.09697439,-0.103286386,-0.10003439,-0.091833584,-0.0963121,0.41574448477854,0.4265845363423193,0.4659558921923001,0.49965192588433116,0.47776256998726163,1.988782,1.9156626,1.8333333,1.6979167,1.4875622,Forest
0.1063,0.10405,0.1057,0.1078,0.12605,8.5E-4,7.5E-4,8.5E-4,9.0E-4,0.00115,0.1165,0.1084,0.1141,0.1237,0.14015,0.0391,0.0372,0.0403,0.0447,0.0533,0.0768,0.07535,0.07655,0.07935,0.0959,0.0628,0.06265,0.06295,0.0692,0.0841,0.035,0.03465,0.0347,0.03875,0.0518,0.0636,0.0613,0.0639,0.07385,0.0873,0.1838,0.1784,0.187,0.20545,0.22635,0.24615,0.2392,0.248,0.2722,0.2964,0.23,0.232,0.2476,0.2675,0.28715,0.28675,0.2758,0.29,0.3137,0.34215,0.0302,0.0474,0.05245,0.05805,0.0513,0.6835460194000099,0.6563154640467335,0.6906906797345588,0.7227347922459515,0.7774177889650415,0.64068085,0.6297828,0.64329225,0.6385479,0.6053959,0.78243977,0.77677566,0.78626424,0.78011066,0.73702246,-0.09694856,-0.10152285,-0.0974138,-0.09706727,-0.094403036,0.4595375577108902,0.44632609770819925,0.4643506653607055,0.4838113552303404,0.4871916773260448,1.8550956,1.7302474,1.8125497,1.7875723,1.6664684,Forest
0.10585,0.1054,0.1065,0.10925,0.1245,0.0015,9.0E-4,9.5E-4,0.001,0.00115,0.13565,0.13605,0.1408,0.1547,0.1603,0.0467,0.04735,0.0485,0.05795,0.05955,0.07805,0.076,0.0776,0.0839,0.0939,0.0664,0.06785,0.06935,0.0778,0.08975,0.0359,0.03355,0.0357,0.0453,0.0498,0.06975,0.071,0.07285,0.08505,0.09325,0.20635,0.23605,0.2409,0.2509,0.27135,0.28765,0.30775,0.31385,0.33095,0.34835,0.273,0.30135,0.3091,0.32525,0.3402,0.32065,0.35245,0.3626,0.37595,0.39735,0.04735,0.0561,0.0583,0.0682,0.06055,0.7488100877856184,0.8104193087746581,0.821521919813627,0.811610212743551,0.875970389955043,0.6568919,0.6771354,0.67889804,0.6570799,0.6314925,0.7986257,0.8261658,0.82073814,0.7849258,0.77725595,-0.09511928,-0.09731876,-0.09280197,-0.08644766,-0.10054108,0.4986574167897568,0.539898430256037,0.5458644073124508,0.5383717877777369,0.5504144120397794,2.0429215,2.0051584,2.0302813,1.9884319,1.7860725,Forest
0.12895,0.1078,0.1094,0.111,0.1233,0.0012,8.0E-4,8.5E-4,0.0011,0.0011,0.151,0.0975,0.0977,0.1027,0.1125,0.0683,0.0378,0.0375,0.0384,0.0414,0.1055,0.0773,0.07825,0.0807,0.0929,0.0938,0.0662,0.0667,0.07255,0.0834,0.06755,0.0391,0.03905,0.04245,0.0524,0.0972,0.0679,0.0733,0.0813,0.0904,0.2072,0.162,0.1661,0.18325,0.2036,0.25635,0.2053,0.2146,0.2297,0.2524,0.2453,0.199,0.1959,0.2187,0.2331,0.2878,0.2339,0.2378,0.25495,0.2847,0.04135,0.0445,0.04775,0.0586,0.0503,0.6105505287673068,0.5479606044655346,0.5612979610886752,0.5874060027848976,0.6435972866048267,0.5083858,0.5588137,0.5619048,0.5569466,0.54686224,0.6198115,0.71355313,0.7178978,0.7145259,0.689113,-0.09120916,-0.1158615,-0.116274156,-0.11806237,-0.108886555,0.3862454070941059,0.37800775868577463,0.38376134289989094,0.3997366270169914,0.4162585187144013,1.609808,1.4728096,1.4647677,1.4155755,1.3489208,Forest
0.1055,0.10355,0.1079,0.10835,0.1198,0.001,8.5E-4,8.5E-4,0.0011,0.0013,0.1482,0.14655,0.1468,0.1522,0.1573,0.052,0.05125,0.0526,0.05805,0.0595,0.079,0.0776,0.0799,0.08165,0.0925,0.0681,0.0716,0.07195,0.0752,0.0858,0.0367,0.0369,0.03885,0.04275,0.0516,0.0706,0.0755,0.0794,0.08465,0.0959,0.2344,0.24675,0.2449,0.2417,0.2489,0.3151,0.3183,0.3222,0.32355,0.3254,0.3045,0.30505,0.3088,0.3101,0.3098,0.3494,0.35555,0.35605,0.36445,0.3684,0.0354,0.0548,0.0572,0.0666,0.0547,0.8000716932532086,0.8006683828875026,0.8010910358484159,0.7974121748373343,0.8046736165045971,0.67377245,0.66475475,0.66378504,0.6579097,0.62219286,0.80989385,0.81195056,0.8032413,0.79002947,0.7542857,-0.08986834,-0.097595274,-0.092964485,-0.08903827,-0.09283387,0.5293420777133045,0.5355762159465385,0.5316795368874356,0.5319113817177142,0.5165217432923375,2.1762116,2.0467877,2.0403056,2.0239363,1.8333333,Forest
